          Teff = 3500 K,  log g = 0.0,  [M/H] = -4.5

               TyV   24    0.574 (0.0706)    0.720  0.219 (0.0063)    0.245  0.548 (0.0114)
 Hipparchos    HIP   25    0.605 (0.0598)    0.730  0.188 (0.0060)    0.324  0.469 (0.0116)
 KEPLER              26    0.509 (0.0742)    0.663  0.232 (0.0056)    0.161  0.579 (0.0114)
 COROT SIS           27    0.513 (0.0715)    0.662  0.224 (0.0055)    0.178  0.559 (0.0115)
 COROT EXO           28    0.507 (0.0722)    0.658  0.226 (0.0055)    0.168  0.565 (0.0115)
 Geneva         U    29    0.694 (0.0449)    0.800  0.159 (0.0167)    0.456  0.397 (0.0241)
                B    30    0.719 (0.0341)    0.793  0.110 (0.0078)    0.554  0.275 (0.0119)
                B1   31    0.747 (0.0256)    0.804  0.085 (0.0094)    0.619  0.213 (0.0129)
                B2   32    0.685 (0.0452)    0.779  0.141 (0.0068)    0.473  0.354 (0.0111)
                V    33    0.553 (0.0740)    0.706  0.229 (0.0063)    0.210  0.573 (0.0113)
                V1   34    0.562 (0.0729)    0.713  0.226 (0.0064)    0.223  0.565 (0.0112)
                G    35    0.518 (0.0789)    0.681  0.245 (0.0062)    0.151  0.612 (0.0115)
 Vilnius        U    36    0.695 (0.0440)    0.799  0.156 (0.0167)    0.462  0.389 (0.0240)
                P    37    0.711 (0.0415)    0.808  0.146 (0.0144)    0.491  0.366 (0.0212)
                X    38    0.749 (0.0246)    0.802  0.080 (0.0088)    0.628  0.201 (0.0120)
                Y    39    0.658 (0.0528)    0.767  0.164 (0.0066)    0.412  0.410 (0.0109)
                Z    40    0.589 (0.0684)    0.731  0.212 (0.0064)    0.272  0.529 (0.0111)
                V    41    0.556 (0.0742)    0.709  0.230 (0.0064)    0.211  0.574 (0.0112)
                S    42    0.450 (0.0840)    0.625  0.263 (0.0054)    0.056  0.657 (0.0121)
 Milone         iz   43    0.316 (0.0753)    0.472  0.233 (0.0054)   -0.033  0.582 (0.0088)
                iJ   44    0.283 (0.0780)    0.440  0.235 (0.0085)   -0.069  0.587 (0.0059)
                iH   45    0.219 (0.0892)    0.384  0.248 (0.0214)   -0.152  0.619 (0.0095)
                iK   46    0.179 (0.0747)    0.318  0.208 (0.0169)   -0.133  0.520 (0.0072)
 YMS94         iz    47    0.316 (0.0753)    0.472  0.233 (0.0054)   -0.033  0.582 (0.0088)
               iJ    48    0.283 (0.0780)    0.440  0.235 (0.0085)   -0.069  0.587 (0.0059)
               iH    49    0.219 (0.0892)    0.384  0.248 (0.0214)   -0.152  0.619 (0.0095)
               iK    50    0.179 (0.0747)    0.318  0.208 (0.0169)   -0.133  0.520 (0.0072)
               iL    51    0.133 (0.0517)    0.236  0.154 (0.0060)   -0.099  0.386 (0.0036)
               iLp   52    0.127 (0.0486)    0.225  0.148 (0.0042)   -0.096  0.371 (0.0043)
               iM    53    0.116 (0.0388)    0.198  0.123 (0.0013)   -0.069  0.308 (0.0054)
               in    54    0.078 (0.0090)    0.097  0.028 (0.0012)    0.036  0.070 (0.0006)
               iN    55    0.069 (0.0072)    0.083  0.021 (0.0015)    0.037  0.053 (0.0006)
 Sloan DSS      u    56    0.705 (0.0411)    0.803  0.146 (0.0159)    0.487  0.364 (0.0227)
                g    57    0.642 (0.0554)    0.757  0.173 (0.0064)    0.382  0.432 (0.0112)
                r    58    0.482 (0.0812)    0.651  0.253 (0.0058)    0.103  0.632 (0.0116)
                i    59    0.395 (0.0815)    0.565  0.256 (0.0047)    0.011  0.640 (0.0117)
                z    60    0.344 (0.0776)    0.506  0.243 (0.0046)   -0.021  0.607 (0.0104)
 HST STIS Ly_alpha   61    1.022 (0.1797)    0.573 -0.673 (0.0477)    2.031 -1.683 (0.0792)
            Fclear   62    0.981 (0.1765)    0.507 -0.710 (0.0701)    2.046 -1.776 (0.1023)
             Fsrf2   63    0.983 (0.1775)    0.506 -0.714 (0.0705)    2.054 -1.785 (0.1028)
              Fqtz   64    0.989 (0.1794)    0.509 -0.720 (0.0702)    2.069 -1.800 (0.1028)
              CIII   65    1.022 (0.1870)    0.543 -0.718 (0.0579)    2.098 -1.794 (0.0912)
              MgII   66    0.879 (0.0640)    0.757 -0.183 (0.0113)    1.154 -0.458 (0.0039)
            Nclear   67    0.926 (0.0995)    0.703 -0.334 (0.0060)    1.427 -0.836 (0.0220)
             Nsrf2   68    0.925 (0.0990)    0.703 -0.333 (0.0060)    1.424 -0.832 (0.0219)
              Nqtz   69    0.929 (0.1015)    0.702 -0.341 (0.0062)    1.441 -0.853 (0.0226)
             cn182   70    0.953 (0.1274)    0.641 -0.468 (0.0278)    1.655 -1.170 (0.0496)
             cn270   71    0.912 (0.0863)    0.735 -0.266 (0.0064)    1.311 -0.665 (0.0086)
            Oclear   72    0.513 (0.0692)    0.658  0.217 (0.0053)    0.187  0.543 (0.0115)
         Oclear-lp   73    0.425 (0.0807)    0.593  0.252 (0.0052)    0.047  0.631 (0.0114)
             [OII]   74    0.696 (0.0495)    0.815  0.178 (0.0171)    0.428  0.446 (0.0255)
            [OIII]   75    0.608 (0.0648)    0.742  0.201 (0.0064)    0.307  0.502 (0.0111)
 2MASS          J    76    0.285 (0.0780)    0.441  0.235 (0.0084)   -0.068  0.587 (0.0059)
 2MASS          H    77    0.219 (0.0885)    0.383  0.246 (0.0210)   -0.150  0.615 (0.0092)
 2MASS          Ks   78    0.182 (0.0755)    0.322  0.210 (0.0173)   -0.133  0.525 (0.0074)
 SWASP               79    0.563 (0.0682)    0.705  0.213 (0.0059)    0.244  0.532 (0.0114)
 MOST                80    0.548 (0.0700)    0.694  0.218 (0.0059)    0.220  0.546 (0.0114)
 GAIA (2006)    G    81    0.526 (0.0702)    0.673  0.220 (0.0055)    0.197  0.549 (0.0115)
 GAIA (2010)    G    82    0.501 (0.0728)    0.653  0.228 (0.0054)    0.159  0.570 (0.0115)
 GAIA (2010)    BP   83    0.576 (0.0660)    0.714  0.206 (0.0059)    0.267  0.516 (0.0117)
 GAIA (2010)    RP   84    0.391 (0.0808)    0.560  0.253 (0.0048)    0.011  0.633 (0.0114)
 GAIA (2010)  G_RV   85    0.352 (0.0797)    0.519  0.251 (0.0043)   -0.025  0.627 (0.0113)
 Milone        230   86    1.024 (0.1678)    0.627 -0.595 (0.0293)    1.916 -1.487 (0.0577)
               250   87    0.974 (0.1281)    0.689 -0.427 (0.0094)    1.613 -1.066 (0.0296)
               270   88    0.910 (0.0850)    0.736 -0.261 (0.0068)    1.302 -0.652 (0.0079)
               290   89    0.848 (0.0461)    0.769 -0.118 (0.0144)    1.025 -0.295 (0.0088)
               310   90    0.787 (0.0166)    0.790  0.004 (0.0177)    0.781  0.010 (0.0179)
               330   91    0.731 (0.0281)    0.799  0.102 (0.0178)    0.578  0.254 (0.0226)
 CaII triplet  858   92    0.351 (0.0801)    0.519  0.252 (0.0043)   -0.028  0.630 (0.0114)
 WIRE  Johnson V+R   93    0.482 (0.0788)    0.646  0.246 (0.0057)    0.114  0.614 (0.0115)
               LUT   94    0.799 (0.0198)    0.771 -0.041 (0.0104)    0.861 -0.103 (0.0085)
              TESS   95    0.403 (0.0805)    0.571  0.252 (0.0050)    0.025  0.630 (0.0113)


          Teff = 5750 K,  log g = 3.0,  [M/H] = -4.5

 bolometric           0    0.481 (0.0617)    0.609  0.192 (0.0047)    0.193  0.480 (0.0089)
 Stromgren      u     1    0.700 (0.0528)    0.822  0.182 (0.0158)    0.426  0.456 (0.0241)
                v     2    0.718 (0.0431)    0.810  0.138 (0.0078)    0.511  0.345 (0.0127)
                b     3    0.638 (0.0644)    0.772  0.201 (0.0067)    0.337  0.503 (0.0121)
                y     4    0.541 (0.0808)    0.709  0.252 (0.0062)    0.162  0.631 (0.0127)
 Johnson        U     5    0.708 (0.0502)    0.822  0.172 (0.0134)    0.450  0.430 (0.0211)
                B     6    0.674 (0.0546)    0.789  0.173 (0.0070)    0.415  0.431 (0.0126)
                V     7    0.541 (0.0801)    0.708  0.250 (0.0061)    0.165  0.626 (0.0127)
                R     8    0.437 (0.0842)    0.614  0.266 (0.0049)    0.039  0.664 (0.0131)
                I     9    0.355 (0.0801)    0.524  0.253 (0.0041)   -0.025  0.633 (0.0121)
                J    10    0.283 (0.0795)    0.443  0.241 (0.0079)   -0.079  0.602 (0.0065)
                K    11    0.182 (0.0765)    0.324  0.213 (0.0172)   -0.138  0.533 (0.0073)
                L    12    0.138 (0.0554)    0.248  0.165 (0.0068)   -0.110  0.412 (0.0036)
                M    13    0.117 (0.0359)    0.194  0.116 (0.0008)   -0.057  0.290 (0.0058)
                N    14    0.077 (0.0083)    0.094  0.026 (0.0010)    0.038  0.064 (0.0004)
 Cousins        Rc   15    0.457 (0.0847)    0.635  0.267 (0.0052)    0.057  0.667 (0.0131)
                Ic   16    0.380 (0.0822)    0.553  0.261 (0.0041)   -0.012  0.652 (0.0129)
 Bessell        UX   17    0.710 (0.0489)    0.822  0.168 (0.0138)    0.458  0.420 (0.0214)
 Bessell        BX   18    0.672 (0.0552)    0.788  0.174 (0.0069)    0.410  0.436 (0.0126)
 Bessell        B    19    0.674 (0.0545)    0.789  0.172 (0.0070)    0.416  0.431 (0.0126)
 Bessell        V    20    0.540 (0.0802)    0.707  0.251 (0.0061)    0.164  0.627 (0.0127)
 Bessell        R    21    0.456 (0.0846)    0.634  0.266 (0.0051)    0.057  0.666 (0.0131)
 Bessell        I    22    0.374 (0.0818)    0.547  0.260 (0.0041)   -0.015  0.649 (0.0128)
 Tycho         TyB   23    0.698 (0.0491)    0.803  0.157 (0.0076)    0.462  0.393 (0.0133)
               TyV   24    0.560 (0.0778)    0.722  0.243 (0.0062)    0.195  0.608 (0.0127)
 Hipparchos    HIP   25    0.589 (0.0691)    0.734  0.218 (0.0061)    0.263  0.544 (0.0129)
 KEPLER              26    0.498 (0.0794)    0.665  0.250 (0.0054)    0.124  0.624 (0.0128)
 COROT SIS           27    0.502 (0.0771)    0.664  0.243 (0.0054)    0.138  0.608 (0.0128)
 COROT EXO           28    0.496 (0.0776)    0.659  0.245 (0.0053)    0.130  0.611 (0.0128)
 Geneva         U    29    0.707 (0.0497)    0.822  0.173 (0.0159)    0.447  0.432 (0.0239)
                B    30    0.697 (0.0490)    0.801  0.157 (0.0075)    0.462  0.391 (0.0131)
                B1   31    0.724 (0.0418)    0.815  0.137 (0.0087)    0.518  0.342 (0.0141)
                B2   32    0.664 (0.0581)    0.786  0.182 (0.0069)    0.392  0.455 (0.0122)
                V    33    0.541 (0.0803)    0.708  0.251 (0.0062)    0.165  0.627 (0.0127)
                V1   34    0.549 (0.0796)    0.715  0.248 (0.0062)    0.177  0.621 (0.0126)
                G    35    0.508 (0.0836)    0.683  0.262 (0.0059)    0.115  0.655 (0.0129)
 Vilnius        U    36    0.710 (0.0484)    0.822  0.169 (0.0161)    0.457  0.421 (0.0238)
                P    37    0.700 (0.0540)    0.823  0.184 (0.0129)    0.423  0.461 (0.0212)
                X    38    0.725 (0.0409)    0.813  0.132 (0.0082)    0.526  0.331 (0.0132)
                Y    39    0.639 (0.0642)    0.772  0.200 (0.0067)    0.338  0.501 (0.0121)
                Z    40    0.575 (0.0762)    0.733  0.238 (0.0064)    0.218  0.594 (0.0125)
                V    41    0.543 (0.0805)    0.711  0.251 (0.0062)    0.166  0.628 (0.0127)
                S    42    0.443 (0.0867)    0.625  0.274 (0.0050)    0.032  0.685 (0.0136)
 Milone         iz   43    0.312 (0.0766)    0.471  0.239 (0.0047)   -0.047  0.598 (0.0100)
                iJ   44    0.280 (0.0791)    0.439  0.239 (0.0079)   -0.079  0.599 (0.0067)
                iH   45    0.219 (0.0896)    0.384  0.248 (0.0216)   -0.154  0.621 (0.0097)
                iK   46    0.178 (0.0754)    0.318  0.210 (0.0168)   -0.137  0.526 (0.0070)
 YMS94         iz    47    0.312 (0.0766)    0.471  0.239 (0.0047)   -0.047  0.598 (0.0100)
               iJ    48    0.280 (0.0791)    0.439  0.239 (0.0079)   -0.079  0.599 (0.0067)
               iH    49    0.219 (0.0896)    0.384  0.248 (0.0216)   -0.154  0.621 (0.0097)
               iK    50    0.178 (0.0754)    0.318  0.210 (0.0168)   -0.137  0.526 (0.0070)
               iL    51    0.134 (0.0516)    0.237  0.155 (0.0055)   -0.099  0.388 (0.0040)
               iLp   52    0.127 (0.0483)    0.227  0.149 (0.0037)   -0.095  0.372 (0.0048)
               iM    53    0.117 (0.0380)    0.198  0.122 (0.0011)   -0.065  0.304 (0.0057)
               in    54    0.078 (0.0085)    0.095  0.027 (0.0009)    0.037  0.067 (0.0007)
               iN    55    0.069 (0.0062)    0.081  0.017 (0.0015)    0.043  0.043 (0.0007)
 Sloan DSS      u    56    0.710 (0.0486)    0.823  0.169 (0.0151)    0.458  0.421 (0.0228)
                g    57    0.623 (0.0661)    0.761  0.207 (0.0065)    0.313  0.518 (0.0125)
                r    58    0.474 (0.0848)    0.651  0.267 (0.0054)    0.074  0.666 (0.0131)
                i    59    0.391 (0.0828)    0.566  0.263 (0.0043)   -0.003  0.657 (0.0130)
                z    60    0.340 (0.0788)    0.506  0.249 (0.0041)   -0.033  0.622 (0.0117)
 HST STIS Ly_alpha   61    1.075 (0.1974)    0.595 -0.720 (0.0430)    2.156 -1.801 (0.0771)
            Fclear   62    1.151 (0.2514)    0.495 -0.985 (0.0858)    2.629 -2.462 (0.1308)
             Fsrf2   63    1.156 (0.2536)    0.494 -0.994 (0.0866)    2.646 -2.484 (0.1320)
              Fqtz   64    1.155 (0.2524)    0.497 -0.987 (0.0854)    2.637 -2.469 (0.1306)
              CIII   65    1.080 (0.2085)    0.563 -0.775 (0.0531)    2.242 -1.936 (0.0895)
              MgII   66    0.892 (0.0571)    0.790 -0.153 (0.0152)    1.122 -0.383 (0.0080)
            Nclear   67    0.949 (0.0992)    0.733 -0.324 (0.0014)    1.436 -0.811 (0.0168)
             Nsrf2   68    0.948 (0.0987)    0.733 -0.323 (0.0014)    1.433 -0.807 (0.0167)
              Nqtz   69    0.952 (0.1011)    0.732 -0.331 (0.0015)    1.449 -0.827 (0.0172)
             cn182   70    0.998 (0.1421)    0.658 -0.510 (0.0255)    1.764 -1.276 (0.0496)
             cn270   71    0.925 (0.0791)    0.770 -0.232 (0.0115)    1.274 -0.581 (0.0030)
            Oclear   72    0.504 (0.0745)    0.661  0.236 (0.0052)    0.150  0.589 (0.0129)
         Oclear-lp   73    0.419 (0.0831)    0.594  0.262 (0.0047)    0.026  0.655 (0.0128)
             [OII]   74    0.681 (0.0635)    0.827  0.220 (0.0148)    0.351  0.549 (0.0250)
            [OIII]   75    0.592 (0.0736)    0.745  0.230 (0.0064)    0.248  0.574 (0.0124)
 2MASS          J    76    0.281 (0.0791)    0.441  0.240 (0.0079)   -0.078  0.599 (0.0067)
 2MASS          H    77    0.219 (0.0889)    0.383  0.247 (0.0211)   -0.151  0.617 (0.0094)
 2MASS          Ks   78    0.181 (0.0761)    0.322  0.212 (0.0171)   -0.137  0.530 (0.0073)
 SWASP               79    0.550 (0.0754)    0.708  0.237 (0.0059)    0.194  0.592 (0.0128)
 MOST                80    0.535 (0.0767)    0.696  0.241 (0.0058)    0.174  0.602 (0.0128)
 GAIA (2006)    G    81    0.515 (0.0762)    0.675  0.240 (0.0055)    0.155  0.600 (0.0129)
 GAIA (2010)    G    82    0.491 (0.0780)    0.655  0.246 (0.0053)    0.122  0.615 (0.0128)
 GAIA (2010)    BP   83    0.563 (0.0737)    0.717  0.232 (0.0060)    0.215  0.580 (0.0130)
 GAIA (2010)    RP   84    0.387 (0.0823)    0.560  0.261 (0.0043)   -0.004  0.651 (0.0127)
 GAIA (2010)  G_RV   85    0.349 (0.0805)    0.519  0.255 (0.0040)   -0.033  0.638 (0.0124)
 Milone        230   86    1.047 (0.1669)    0.668 -0.570 (0.0186)    1.902 -1.424 (0.0459)
               250   87    0.990 (0.1225)    0.728 -0.392 (0.0039)    1.578 -0.980 (0.0194)
               270   88    0.923 (0.0776)    0.772 -0.227 (0.0119)    1.263 -0.567 (0.0030)
               290   89    0.860 (0.0391)    0.800 -0.090 (0.0170)    0.995 -0.225 (0.0127)
               310   90    0.799 (0.0157)    0.817  0.027 (0.0184)    0.758  0.069 (0.0197)
               330   91    0.745 (0.0332)    0.824  0.118 (0.0176)    0.568  0.296 (0.0231)
 CaII triplet  858   92    0.349 (0.0807)    0.519  0.256 (0.0040)   -0.035  0.639 (0.0125)
 WIRE  Johnson V+R   93    0.474 (0.0827)    0.647  0.260 (0.0053)    0.083  0.651 (0.0129)
               LUT   94    0.811 (0.0160)    0.797 -0.021 (0.0123)    0.842 -0.052 (0.0114)
              TESS   95    0.398 (0.0824)    0.572  0.260 (0.0045)    0.008  0.651 (0.0127)


          Teff = 5750 K,  log g = 3.5,  [M/H] = -4.5

 bolometric           0    0.476 (0.0659)    0.614  0.206 (0.0046)    0.167  0.516 (0.0099)
 Stromgren      u     1    0.708 (0.0584)    0.840  0.198 (0.0137)    0.411  0.495 (0.0225)
                v     2    0.692 (0.0586)    0.817  0.187 (0.0073)    0.412  0.467 (0.0138)
                b     3    0.618 (0.0754)    0.775  0.237 (0.0066)    0.263  0.591 (0.0134)
                y     4    0.527 (0.0873)    0.709  0.274 (0.0061)    0.115  0.686 (0.0139)
 Johnson        U     5    0.701 (0.0607)    0.836  0.203 (0.0117)    0.396  0.508 (0.0205)
                B     6    0.651 (0.0677)    0.794  0.214 (0.0068)    0.330  0.536 (0.0138)
                V     7    0.527 (0.0866)    0.708  0.272 (0.0060)    0.118  0.681 (0.0139)
                R     8    0.429 (0.0872)    0.614  0.277 (0.0047)    0.014  0.692 (0.0142)
                I     9    0.350 (0.0818)    0.524  0.260 (0.0040)   -0.039  0.650 (0.0130)
                J    10    0.278 (0.0810)    0.442  0.246 (0.0077)   -0.092  0.616 (0.0070)
                K    11    0.180 (0.0769)    0.322  0.214 (0.0174)   -0.141  0.535 (0.0074)
                L    12    0.137 (0.0558)    0.248  0.167 (0.0065)   -0.113  0.417 (0.0037)
                M    13    0.117 (0.0357)    0.194  0.115 (0.0008)   -0.056  0.289 (0.0059)
                N    14    0.076 (0.0085)    0.094  0.028 (0.0006)    0.035  0.069 (0.0010)
 Cousins        Rc   15    0.448 (0.0882)    0.634  0.279 (0.0050)    0.029  0.699 (0.0142)
                Ic   16    0.375 (0.0840)    0.553  0.268 (0.0041)   -0.027  0.669 (0.0138)
 Bessell        UX   17    0.706 (0.0586)    0.837  0.197 (0.0121)    0.410  0.493 (0.0208)
 Bessell        BX   18    0.649 (0.0682)    0.793  0.216 (0.0068)    0.326  0.539 (0.0138)
 Bessell        B    19    0.652 (0.0676)    0.794  0.214 (0.0068)    0.331  0.535 (0.0138)
 Bessell        V    20    0.526 (0.0867)    0.708  0.273 (0.0060)    0.117  0.681 (0.0139)
 Bessell        R    21    0.447 (0.0881)    0.633  0.279 (0.0050)    0.029  0.698 (0.0142)
 Bessell        I    22    0.370 (0.0835)    0.547  0.266 (0.0040)   -0.030  0.665 (0.0137)
 Tycho         TyB   23    0.674 (0.0634)    0.809  0.202 (0.0072)    0.371  0.506 (0.0143)
               TyV   24    0.545 (0.0852)    0.723  0.268 (0.0061)    0.143  0.669 (0.0139)
 Hipparchos    HIP   25    0.572 (0.0782)    0.737  0.247 (0.0061)    0.201  0.618 (0.0140)
 KEPLER              26    0.486 (0.0848)    0.665  0.268 (0.0053)    0.084  0.670 (0.0139)
 COROT SIS           27    0.490 (0.0829)    0.665  0.262 (0.0053)    0.096  0.656 (0.0139)
 COROT EXO           28    0.484 (0.0832)    0.660  0.263 (0.0053)    0.089  0.658 (0.0139)
 Geneva         U    29    0.713 (0.0559)    0.840  0.190 (0.0139)    0.428  0.475 (0.0224)
                B    30    0.673 (0.0633)    0.808  0.202 (0.0071)    0.371  0.505 (0.0142)
                B1   31    0.699 (0.0576)    0.823  0.186 (0.0079)    0.420  0.466 (0.0150)
                B2   32    0.642 (0.0706)    0.790  0.222 (0.0067)    0.309  0.555 (0.0134)
                V    33    0.527 (0.0868)    0.709  0.273 (0.0060)    0.118  0.682 (0.0139)
                V1   34    0.535 (0.0865)    0.716  0.271 (0.0061)    0.127  0.679 (0.0139)
                G    35    0.496 (0.0888)    0.683  0.280 (0.0057)    0.077  0.699 (0.0141)
 Vilnius        U    36    0.717 (0.0544)    0.840  0.185 (0.0141)    0.439  0.463 (0.0224)
                P    37    0.688 (0.0660)    0.835  0.220 (0.0111)    0.358  0.551 (0.0207)
                X    38    0.700 (0.0568)    0.821  0.182 (0.0076)    0.426  0.456 (0.0142)
                Y    39    0.618 (0.0753)    0.776  0.236 (0.0066)    0.264  0.590 (0.0134)
